# Vepsian: Northern Veps
Kalag’	Kalagen	PROPN;GEN;SG
pestas	em peznuze	V;PST;IPFV;IND;NEG;1;PL
pestas	olen peznuze	V;PRS;PRF;IND;POS;1;SG
pestas	oled peznuze	V;PRS;PRF;IND;POS;2;SG
pestas	oled peznuze	V;PRS;PRF;IND;POS;2;PL
pestas	om peznuze	V;PRS;PRF;IND;POS;3;SG
pestas	olem peznuze	V;PRS;PRF;IND;POS;1;PL
pestas	oma peznuze	V;PRS;PRF;IND;POS;3;PL
pestas	en ole peznuze	V;PRS;PRF;IND;NEG;1;SG
pestas	ed ole peznuze	V;PRS;PRF;IND;NEG;2;SG
pestas	iilä peznuze	V;PRS;PRF;IND;NEG;3;SG
pestas	em olgii peznuze	V;PRS;PRF;IND;NEG;1;PL
pestas	ed olgii peznuze	V;PRS;PRF;IND;NEG;2;PL
pestas	ii olgii peznuze	V;PRS;PRF;IND;NEG;3;PL
pestas	olin peznuze	V;PST;PRF;IND;POS;1;SG
pestas	olid peznuze	V;PST;PRF;IND;POS;2;SG
pestas	olid peznuze	V;PST;PRF;IND;POS;2;PL
pestas	oli peznuze	V;PST;PRF;IND;POS;3;SG
pestas	olim peznuze	V;PST;PRF;IND;POS;1;PL
pestas	en olnu peznuze	V;PST;PRF;IND;NEG;1;SG
pestas	ed olnu peznuze	V;PST;PRF;IND;NEG;2;SG
pestas	ii olnu peznuze	V;PST;PRF;IND;NEG;3;SG
pestas	em oldud peznuze	V;PST;PRF;IND;NEG;1;PL
pestas	ed oldud peznuze	V;PST;PRF;IND;NEG;2;PL
pestas	ii oldud peznuze	V;PST;PRF;IND;NEG;3;PL
pestas	peskahaze	V;IMP;POS;3;SG
pestas	peskahaze	V;IMP;POS;3;PL
pestas	peskamei	V;IMP;POS;1;PL
pestas	peskatei	V;IMP;POS;2;PL
pestas	algii peskiiže	V;IMP;NEG;3;SG
pestas	algii peskiiže	V;IMP;NEG;3;PL
pestas	algam peskiiže	V;IMP;NEG;1;PL
pestas	algat peskiiže	V;IMP;NEG;2;PL
pestas	pezižimei	V;PRS;COND;POS;1;SG
pestas	pezižimei	V;PRS;COND;POS;1;PL
pestas	pezižitei	V;PRS;COND;POS;2;SG
pestas	pezižitei	V;PRS;COND;POS;2;PL
pestas	peznižimei	V;PST;IPFV;COND;POS;1;SG
pestas	peznižimei	V;PST;IPFV;COND;POS;1;PL
pestas	peznižitei	V;PST;IPFV;COND;POS;2;SG
pestas	peznižitei	V;PST;IPFV;COND;POS;2;PL
pestas	peznižihe	V;PST;IPFV;COND;POS;3;SG
pestas	peznižihe	V;PST;IPFV;COND;POS;3;PL
pestas	en peznižihe	V;PST;IPFV;COND;NEG;1;SG
pestas	em peznižihe	V;PST;IPFV;COND;NEG;1;PL
pestas	ed peznižihe	V;PST;IPFV;COND;NEG;2;SG
pestas	ed peznižihe	V;PST;IPFV;COND;NEG;2;PL
pestas	ii peznižihe	V;PST;IPFV;COND;NEG;3;SG
pestas	ii peznižihe	V;PST;IPFV;COND;NEG;3;PL
pestas	pestaze	V;NFIN
pestas	ol’d’he peznuze	V;PST;PRF;IND;POS;3;PL
päiv	päivid	N;PRT;PL
päiv	päivän	N;GEN;SG
päiv	päivän	N;ACC;SG
päiv	päivän	N;FRML;SG
päiv	päiväspäi	N;IN+ABL;SG
päiv	päiväs	N;IN+ESS;SG
päiv	päiv	N;NOM;SG
päiv	päiv	N;ACC;SG
päiv	päivišpäi	N;IN+ABL;PL
päiv	päiväd	N;NOM;PL
päiv	päiväd	N;PRT;SG
päiv	päiväd	N;ACC;PL
päiv	päivil	N;AT+ESS;PL
päiv	päiväks	N;TRANS;SG
päiv	päiväta	N;PRIV ;SG
päiv	päivälpäi	N;AT+ABL;SG
päiv	päiväle	N;AT+ALL;SG
päiv	päivänke	N;COM;SG
päiv	päivädme	N;PROL;SG
päiv	päivännopäi	N;ON/AT+ABL;SG
päiv	päividen	N;GEN;PL
päiv	päivin	N;FRML;PL
päiv	päivikš	N;TRANS;PL
päiv	päiviš	N;IN+ESS;PL
päiv	päivihe	N;IN+ALL;PL
päiv	päivilpäi	N;AT+ABL;PL
päiv	päivile	N;AT+ALL;PL
päiv	päivita	N;PRIV ;PL
päiv	päividenke	N;COM;PL
päiv	päividme	N;PROL;PL
päiv	päividennopäi	N;ON/AT+ABL;PL
päiv	päivihesai	N;TERM;PL
päiv	päivihepäi	N;PRP;PL
päiv	päiväl	N;AT+ESS;SG
päiv	päivähä	N;IN+ALL;SG
päiv	päivännoks	N;APPRX;SG
päiv	päivähäsai	N;TERM;SG
päiv	päivähäpäi	N;PRP;SG
päiv	päividennoks	N;APPRX;PL
sada	sada	V;NFIN
sada	sagat	V;IMP;POS;2;PL
sada	sanuižin	V;PST;IPFV;COND;POS;1;SG
sada	saižin	V;PRS;COND;POS;1;SG
sada	sam	V;PRS;IND;POS;1;PL
sada	sain	V;PST;IPFV;IND;POS;1;SG
sada	said	V;PST;IPFV;IND;POS;2;SG
sada	said	V;PST;IPFV;IND;POS;2;PL
sada	sadud	V.PTCP;PST;PASS
sada	sadud	V.PTCP;PST;ACT;PL
sada	sai	V;PST;IPFV;IND;POS;3;SG
sada	sai	V.PTCP;PRS;ACT
sada	sa	V;IMP;POS;2;SG
sada	san	V;PRS;IND;POS;1;SG
sada	sab	V;PRS;IND;POS;3;SG
sada	sanu	V.PTCP;PST;ACT
sada	en sanu	V;PST;IPFV;IND;NEG;1;SG
sada	ed sanu	V;PST;IPFV;IND;NEG;2;SG
sada	sanuižid	V;PST;IPFV;COND;POS;2;SG
sada	sanuižid	V;PST;IPFV;COND;POS;2;PL
sada	sanuiži	V;PST;IPFV;COND;POS;3;SG
sada	sanuižim	V;PST;IPFV;COND;POS;1;PL
sada	en sanuiži	V;PST;IPFV;COND;NEG;1;SG
sada	ed sanuiži	V;PST;IPFV;COND;NEG;2;SG
sada	ed sanuiži	V;PST;IPFV;COND;NEG;2;PL
sada	sad	V;PRS;IND;POS;2;SG
sada	sad	V;PRS;IND;POS;2;PL
sada	en sa	V;PRS;IND;NEG;1;SG
sada	ed sa	V;PRS;IND;NEG;2;SG
sada	saim	V;PST;IPFV;IND;POS;1;PL
sada	olen sanu	V;PRS;PRF;IND;POS;1;SG
sada	oled sanu	V;PRS;PRF;IND;POS;2;SG
sada	om sanu	V;PRS;PRF;IND;POS;3;SG
sada	en ole sanu	V;PRS;PRF;IND;NEG;1;SG
sada	ed ole sanu	V;PRS;PRF;IND;NEG;2;SG
sada	olin sanu	V;PST;PRF;IND;POS;1;SG
sada	olid sanu	V;PST;PRF;IND;POS;2;SG
sada	oli sanu	V;PST;PRF;IND;POS;3;SG
sada	en olnu sanu	V;PST;PRF;IND;NEG;1;SG
sada	ed olnu sanu	V;PST;PRF;IND;NEG;2;SG
sada	sagha	V;IMP;POS;3;SG
sada	sagha	V;IMP;POS;3;PL
sada	sagam	V;IMP;POS;1;PL
sada	ala sa	V;IMP;NEG;2;SG
sada	saižid	V;PRS;COND;POS;2;SG
sada	saižid	V;PRS;COND;POS;2;PL
sada	saiži	V;PRS;COND;POS;3;SG
sada	saižim	V;PRS;COND;POS;1;PL
sada	en saiži	V;PRS;COND;NEG;1;SG
sada	ed saiži	V;PRS;COND;NEG;2;SG
sada	em sanuiži	V;PST;IPFV;COND;NEG;1;PL
sada	sadihe	V;PST;IPFV;IND;POS;3;PL
sada	sadihe	V;PASS;PST;IPFV
sada	om sadud	V;PASS;PRS;PRF
sada	oli sadud	V;PASS;PST;PRF
sada	sadaze	V;PRS;IND;POS;3;PL
sada	sadaze	V;PASS;PRS
sada	ii sa	V;PRS;IND;NEG;3;SG
sada	em sagii	V;PRS;IND;NEG;1;PL
sada	ed sagii	V;PRS;IND;NEG;2;PL
sada	ii sagii	V;PRS;IND;NEG;3;PL
sada	ii sanu	V;PST;IPFV;IND;NEG;3;SG
sada	em sadud	V;PST;IPFV;IND;NEG;1;PL
sada	ed sadud	V;PST;IPFV;IND;NEG;2;PL
sada	ii sadud	V;PST;IPFV;IND;NEG;3;PL
sada	olem sadud	V;PRS;PRF;IND;POS;1;PL
sada	oled sadud	V;PRS;PRF;IND;POS;2;PL
sada	oma sadud	V;PRS;PRF;IND;POS;3;PL
sada	iilä sanu	V;PRS;PRF;IND;NEG;3;SG
sada	em olgii sadud	V;PRS;PRF;IND;NEG;1;PL
sada	ed olgii sadud	V;PRS;PRF;IND;NEG;2;PL
sada	ii olgii sadud	V;PRS;PRF;IND;NEG;3;PL
sada	olim sadud	V;PST;PRF;IND;POS;1;PL
sada	olid sadud	V;PST;PRF;IND;POS;2;PL
sada	ol’d’he sadud	V;PST;PRF;IND;POS;3;PL
sada	ii olnu sanu	V;PST;PRF;IND;NEG;3;SG
sada	em oldud sadud	V;PST;PRF;IND;NEG;1;PL
sada	ed oldud sadud	V;PST;PRF;IND;NEG;2;PL
sada	ii oldud sadud	V;PST;PRF;IND;NEG;3;PL
sada	algii sagii	V;IMP;NEG;3;SG
sada	algii sagii	V;IMP;NEG;3;PL
sada	algam sagii	V;IMP;NEG;1;PL
sada	algat sagii	V;IMP;NEG;2;PL
sada	saiž	V;PRS;COND;POS;3;SG
sada	sadeiž	V;PRS;COND;POS;3;PL
sada	en saiž	V;PRS;COND;NEG;1;SG
sada	ed saiž	V;PRS;COND;NEG;2;SG
sada	ii saiž	V;PRS;COND;NEG;3;SG
sada	ii saiži	V;PRS;COND;NEG;3;SG
sada	em sadeiž	V;PRS;COND;NEG;1;PL
sada	ed sadeiž	V;PRS;COND;NEG;2;PL
sada	ii sadeiž	V;PRS;COND;NEG;3;PL
sada	sanižin	V;PST;IPFV;COND;POS;1;SG
sada	sanižid	V;PST;IPFV;COND;POS;2;SG
sada	sanižid	V;PST;IPFV;COND;POS;2;PL
sada	saniž	V;PST;IPFV;COND;POS;3;SG
sada	saniži	V;PST;IPFV;COND;POS;3;SG
sada	sanuiž	V;PST;IPFV;COND;POS;3;SG
sada	sanižim	V;PST;IPFV;COND;POS;1;PL
sada	sadeniž	V;PST;IPFV;COND;POS;3;PL
sada	en saniž	V;PST;IPFV;COND;NEG;1;SG
sada	en saniži	V;PST;IPFV;COND;NEG;1;SG
sada	en sanuiž	V;PST;IPFV;COND;NEG;1;SG
sada	ed saniž	V;PST;IPFV;COND;NEG;2;SG
sada	ed saniž	V;PST;IPFV;COND;NEG;2;PL
sada	ed saniži	V;PST;IPFV;COND;NEG;2;SG
sada	ed saniži	V;PST;IPFV;COND;NEG;2;PL
sada	ed sanuiž	V;PST;IPFV;COND;NEG;2;SG
sada	ed sanuiž	V;PST;IPFV;COND;NEG;2;PL
sada	ii saniž	V;PST;IPFV;COND;NEG;3;SG
sada	ii saniži	V;PST;IPFV;COND;NEG;3;SG
sada	ii sanuiž	V;PST;IPFV;COND;NEG;3;SG
sada	ii sanuiži	V;PST;IPFV;COND;NEG;3;SG
sada	em saniž	V;PST;IPFV;COND;NEG;1;PL
sada	em saniži	V;PST;IPFV;COND;NEG;1;PL
sada	em sanuiž	V;PST;IPFV;COND;NEG;1;PL
sada	ii sadeniž	V;PST;IPFV;COND;NEG;3;PL
tehta	tegižim	V;PRS;COND;POS;1;PL
tehta	tehkaha	V;IMP;POS;3;SG
tehta	tehkaha	V;IMP;POS;3;PL
tehta	tegem	V;PRS;IND;POS;1;PL
tehta	tegižin	V;PRS;COND;POS;1;SG
tehta	tehtihe	V;PST;IPFV;IND;POS;3;PL
tehta	tehtihe	V;PASS;PST;IPFV
tehta	tehnu	V.PTCP;PST;ACT
tehta	tegim	V;PST;IPFV;IND;POS;1;PL
tehta	tege	V;IMP;POS;2;SG
tehta	tehkat	V;IMP;POS;2;PL
tehta	tehtud	V.PTCP;PST;PASS
tehta	tehtud	V.PTCP;PST;ACT;PL
tehta	tegi	V;PST;IPFV;IND;POS;3;SG
tehta	tegi	V.PTCP;PRS;ACT
tehta	tegen	V;PRS;IND;POS;1;SG
tehta	teged	V;PRS;IND;POS;2;SG
tehta	teged	V;PRS;IND;POS;2;PL
tehta	tegin	V;PST;IPFV;IND;POS;1;SG
tehta	tehta	V;NFIN
tehta	tehnižid	V;PST;IPFV;COND;POS;2;SG
tehta	tehnižid	V;PST;IPFV;COND;POS;2;PL
tehta	tehnižin	V;PST;IPFV;COND;POS;1;SG
tehta	en tege	V;PRS;IND;NEG;1;SG
tehta	ed tege	V;PRS;IND;NEG;2;SG
tehta	tegid	V;PST;IPFV;IND;POS;2;SG
tehta	tegid	V;PST;IPFV;IND;POS;2;PL
tehta	en tehnu	V;PST;IPFV;IND;NEG;1;SG
tehta	ed tehnu	V;PST;IPFV;IND;NEG;2;SG
tehta	olen tehnu	V;PRS;PRF;IND;POS;1;SG
tehta	oled tehnu	V;PRS;PRF;IND;POS;2;SG
tehta	om tehnu	V;PRS;PRF;IND;POS;3;SG
tehta	en ole tehnu	V;PRS;PRF;IND;NEG;1;SG
tehta	ed ole tehnu	V;PRS;PRF;IND;NEG;2;SG
tehta	olin tehnu	V;PST;PRF;IND;POS;1;SG
tehta	olid tehnu	V;PST;PRF;IND;POS;2;SG
tehta	oli tehnu	V;PST;PRF;IND;POS;3;SG
tehta	en olnu tehnu	V;PST;PRF;IND;NEG;1;SG
tehta	ed olnu tehnu	V;PST;PRF;IND;NEG;2;SG
tehta	tehkam	V;IMP;POS;1;PL
tehta	ala tege	V;IMP;NEG;2;SG
tehta	tegižid	V;PRS;COND;POS;2;SG
tehta	tegižid	V;PRS;COND;POS;2;PL
tehta	tegiži	V;PRS;COND;POS;3;SG
tehta	en tegiži	V;PRS;COND;NEG;1;SG
tehta	ed tegiži	V;PRS;COND;NEG;2;SG
tehta	tehnuižin	V;PST;IPFV;COND;POS;1;SG
tehta	tehnuižid	V;PST;IPFV;COND;POS;2;SG
tehta	tehnuižid	V;PST;IPFV;COND;POS;2;PL
tehta	tehnuiži	V;PST;IPFV;COND;POS;3;SG
tehta	tehnuižim	V;PST;IPFV;COND;POS;1;PL
tehta	en tehnuiži	V;PST;IPFV;COND;NEG;1;SG
tehta	ed tehnuiži	V;PST;IPFV;COND;NEG;2;SG
tehta	ed tehnuiži	V;PST;IPFV;COND;NEG;2;PL
tehta	em tehnuiži	V;PST;IPFV;COND;NEG;1;PL
tehta	om tehtud	V;PASS;PRS;PRF
tehta	oli tehtud	V;PASS;PST;PRF
tehta	ii tege	V;PRS;IND;NEG;3;SG
tehta	tegiž	V;PRS;COND;POS;3;SG
tehta	en tegiž	V;PRS;COND;NEG;1;SG
tehta	ed tegiž	V;PRS;COND;NEG;2;SG
tehta	ii tegiž	V;PRS;COND;NEG;3;SG
tehta	ii tegiži	V;PRS;COND;NEG;3;SG
tehta	tehnuiž	V;PST;IPFV;COND;POS;3;SG
tehta	en tehnuiž	V;PST;IPFV;COND;NEG;1;SG
tehta	ed tehnuiž	V;PST;IPFV;COND;NEG;2;SG
tehta	ed tehnuiž	V;PST;IPFV;COND;NEG;2;PL
tehta	ii tehnuiž	V;PST;IPFV;COND;NEG;3;SG
tehta	ii tehnuiži	V;PST;IPFV;COND;NEG;3;SG
tehta	teggob	V;PRS;IND;POS;3;SG
tehta	tehtaze	V;PRS;IND;POS;3;PL
tehta	tehtaze	V;PASS;PRS
tehta	em tehkii	V;PRS;IND;NEG;1;PL
tehta	ed tehkii	V;PRS;IND;NEG;2;PL
tehta	ii tehkii	V;PRS;IND;NEG;3;PL
tehta	ii tehnu	V;PST;IPFV;IND;NEG;3;SG
tehta	em tehtud	V;PST;IPFV;IND;NEG;1;PL
tehta	ed tehtud	V;PST;IPFV;IND;NEG;2;PL
tehta	ii tehtud	V;PST;IPFV;IND;NEG;3;PL
tehta	olem tehtud	V;PRS;PRF;IND;POS;1;PL
tehta	oled tehtud	V;PRS;PRF;IND;POS;2;PL
tehta	oma tehtud	V;PRS;PRF;IND;POS;3;PL
tehta	iilä tehnu	V;PRS;PRF;IND;NEG;3;SG
tehta	em olgii tehtud	V;PRS;PRF;IND;NEG;1;PL
tehta	ed olgii tehtud	V;PRS;PRF;IND;NEG;2;PL
tehta	ii olgii tehtud	V;PRS;PRF;IND;NEG;3;PL
tehta	olim tehtud	V;PST;PRF;IND;POS;1;PL
tehta	olid tehtud	V;PST;PRF;IND;POS;2;PL
tehta	ol’d’he tehtud	V;PST;PRF;IND;POS;3;PL
tehta	ii olnu tehnu	V;PST;PRF;IND;NEG;3;SG
tehta	em oldud tehtud	V;PST;PRF;IND;NEG;1;PL
tehta	ed oldud tehtud	V;PST;PRF;IND;NEG;2;PL
tehta	ii oldud tehtud	V;PST;PRF;IND;NEG;3;PL
tehta	algii tehkii	V;IMP;NEG;3;SG
tehta	algii tehkii	V;IMP;NEG;3;PL
tehta	algam tehkii	V;IMP;NEG;1;PL
tehta	algat tehkii	V;IMP;NEG;2;PL
tehta	tehteiž	V;PRS;COND;POS;3;PL
tehta	em tehteiž	V;PRS;COND;NEG;1;PL
tehta	ed tehteiž	V;PRS;COND;NEG;2;PL
tehta	ii tehteiž	V;PRS;COND;NEG;3;PL
tehta	tehniž	V;PST;IPFV;COND;POS;3;SG
tehta	tehniži	V;PST;IPFV;COND;POS;3;SG
tehta	tehnižim	V;PST;IPFV;COND;POS;1;PL
tehta	tehteniž	V;PST;IPFV;COND;POS;3;PL
tehta	en tehniž	V;PST;IPFV;COND;NEG;1;SG
tehta	en tehniži	V;PST;IPFV;COND;NEG;1;SG
tehta	ed tehniž	V;PST;IPFV;COND;NEG;2;SG
tehta	ed tehniž	V;PST;IPFV;COND;NEG;2;PL
tehta	ed tehniži	V;PST;IPFV;COND;NEG;2;SG
tehta	ed tehniži	V;PST;IPFV;COND;NEG;2;PL
tehta	ii tehniž	V;PST;IPFV;COND;NEG;3;SG
tehta	ii tehniži	V;PST;IPFV;COND;NEG;3;SG
tehta	em tehniž	V;PST;IPFV;COND;NEG;1;PL
tehta	em tehniži	V;PST;IPFV;COND;NEG;1;PL
tehta	em tehnuiž	V;PST;IPFV;COND;NEG;1;PL
tehta	ii tehteniž	V;PST;IPFV;COND;NEG;3;PL
toine	toižidenke	ADJ;COM;PL
toine	toižespäi	ADJ;IN+ABL;SG
toine	toižišpäi	ADJ;IN+ABL;PL
toine	toižile	ADJ;AT+ALL;PL
toine	toižidennoks	ADJ;APPRX;PL
toine	toižihe	ADJ;IN+ALL;PL
toine	toižid	ADJ;PRT;PL
toine	toižele	ADJ;AT+ALL;SG
toine	toižiden	ADJ;GEN;PL
toine	toižel	ADJ;AT+ESS;SG
toine	toižed	ADJ;NOM;PL
toine	toižed	ADJ;ACC;PL
toine	toižiš	ADJ;IN+ESS;PL
toine	toižhe	ADJ;IN+ALL;SG
toine	toine	ADJ;NOM;SG
toine	toine	ADJ;ACC;SG
toine	toižes	ADJ;IN+ESS;SG
toine	toižen	ADJ;GEN;SG
toine	toižen	ADJ;ACC;SG
toine	toižen	ADJ;FRML;SG
toine	tošt’	ADJ;PRT;SG
toine	toižin	ADJ;FRML;PL
toine	toižeks	ADJ;TRANS;SG
toine	toiželpäi	ADJ;AT+ABL;SG
toine	toižeta	ADJ;PRIV ;SG
toine	toiženke	ADJ;COM;SG
toine	toižennoks	ADJ;APPRX;SG
toine	toižennopäi	ADJ;ON/AT+ABL;SG
toine	toižhesai	ADJ;TERM;SG
toine	toižhepäi	ADJ;PRP;SG
toine	toižikš	ADJ;TRANS;PL
toine	toižil	ADJ;AT+ESS;PL
toine	toižilpäi	ADJ;AT+ABL;PL
toine	toižita	ADJ;PRIV ;PL
toine	toižidme	ADJ;PROL;PL
toine	toižidennopäi	ADJ;ON/AT+ABL;PL
toine	toižihesai	ADJ;TERM;PL
toine	toižihepäi	ADJ;PRP;PL
toine	toižehe	ADJ;IN+ALL;SG
toine	toižehesai	ADJ;TERM;SG
toine	toižehepäi	ADJ;PRP;SG
toine	tošt’me	ADJ;PROL;SG
uk	ukk	N;NOM;SG
valita	valičen	V;PRS;IND;POS;1;SG
valita	valitihe	V;PST;IPFV;IND;POS;3;PL
valita	valitihe	V;PASS;PST;IPFV
valita	valitud	V.PTCP;PST;PASS
valita	valitud	V.PTCP;PST;ACT;PL
valita	valičenu	V.PTCP;PST;ACT
valita	valičed	V;PRS;IND;POS;2;SG
valita	valičed	V;PRS;IND;POS;2;PL
valita	valičem	V;PRS;IND;POS;1;PL
valita	valiče	V;IMP;POS;2;SG
valita	valičin	V;PST;IPFV;IND;POS;1;SG
valita	valičid	V;PST;IPFV;IND;POS;2;SG
valita	valičid	V;PST;IPFV;IND;POS;2;PL
valita	valiči	V;PST;IPFV;IND;POS;3;SG
valita	valiči	V.PTCP;PRS;ACT
valita	valičim	V;PST;IPFV;IND;POS;1;PL
valita	valikam	V;IMP;POS;1;PL
valita	valikat	V;IMP;POS;2;PL
valita	valičižin	V;PRS;COND;POS;1;SG
valita	valičižid	V;PRS;COND;POS;2;SG
valita	valičižid	V;PRS;COND;POS;2;PL
valita	valičiži	V;PRS;COND;POS;3;SG
valita	valičižim	V;PRS;COND;POS;1;PL
valita	valinuižin	V;PST;IPFV;COND;POS;1;SG
valita	valinuižid	V;PST;IPFV;COND;POS;2;SG
valita	valinuižid	V;PST;IPFV;COND;POS;2;PL
valita	valinuiži	V;PST;IPFV;COND;POS;3;SG
valita	valinuižim	V;PST;IPFV;COND;POS;1;PL
valita	valita	V;NFIN
valita	en valiče	V;PRS;IND;NEG;1;SG
valita	ed valiče	V;PRS;IND;NEG;2;SG
valita	valikaha	V;IMP;POS;3;SG
valita	valikaha	V;IMP;POS;3;PL
valita	ala valiče	V;IMP;NEG;2;SG
valita	en valičiži	V;PRS;COND;NEG;1;SG
valita	ed valičiži	V;PRS;COND;NEG;2;SG
valita	en valinuiži	V;PST;IPFV;COND;NEG;1;SG
valita	ed valinuiži	V;PST;IPFV;COND;NEG;2;SG
valita	ed valinuiži	V;PST;IPFV;COND;NEG;2;PL
valita	valitaze	V;PRS;IND;POS;3;PL
valita	valitaze	V;PASS;PRS
valita	ii valiče	V;PRS;IND;NEG;3;SG
valita	em valikii	V;PRS;IND;NEG;1;PL
valita	ed valikii	V;PRS;IND;NEG;2;PL
valita	ii valikii	V;PRS;IND;NEG;3;PL
valita	en valinu	V;PST;IPFV;IND;NEG;1;SG
valita	ed valinu	V;PST;IPFV;IND;NEG;2;SG
valita	ii valinu	V;PST;IPFV;IND;NEG;3;SG
valita	em valitud	V;PST;IPFV;IND;NEG;1;PL
valita	ed valitud	V;PST;IPFV;IND;NEG;2;PL
valita	ii valitud	V;PST;IPFV;IND;NEG;3;PL
valita	olen valičenu	V;PRS;PRF;IND;POS;1;SG
valita	oled valičenu	V;PRS;PRF;IND;POS;2;SG
valita	om valičenu	V;PRS;PRF;IND;POS;3;SG
valita	olem valitud	V;PRS;PRF;IND;POS;1;PL
valita	oled valitud	V;PRS;PRF;IND;POS;2;PL
valita	oma valitud	V;PRS;PRF;IND;POS;3;PL
valita	en ole valičenu	V;PRS;PRF;IND;NEG;1;SG
valita	ed ole valičenu	V;PRS;PRF;IND;NEG;2;SG
valita	iilä valičenu	V;PRS;PRF;IND;NEG;3;SG
valita	em olgii valitud	V;PRS;PRF;IND;NEG;1;PL
valita	ed olgii valitud	V;PRS;PRF;IND;NEG;2;PL
valita	ii olgii valitud	V;PRS;PRF;IND;NEG;3;PL
valita	olin valičenu	V;PST;PRF;IND;POS;1;SG
valita	olid valičenu	V;PST;PRF;IND;POS;2;SG
valita	oli valičenu	V;PST;PRF;IND;POS;3;SG
valita	olim valitud	V;PST;PRF;IND;POS;1;PL
valita	olid valitud	V;PST;PRF;IND;POS;2;PL
valita	ol’d’he valitud	V;PST;PRF;IND;POS;3;PL
valita	en olnu valičenu	V;PST;PRF;IND;NEG;1;SG
valita	ed olnu valičenu	V;PST;PRF;IND;NEG;2;SG
valita	ii olnu valičenu	V;PST;PRF;IND;NEG;3;SG
valita	em oldud valitud	V;PST;PRF;IND;NEG;1;PL
valita	ed oldud valitud	V;PST;PRF;IND;NEG;2;PL
valita	ii oldud valitud	V;PST;PRF;IND;NEG;3;PL
valita	algii valikii	V;IMP;NEG;3;SG
valita	algii valikii	V;IMP;NEG;3;PL
valita	algam valikii	V;IMP;NEG;1;PL
valita	algat valikii	V;IMP;NEG;2;PL
valita	valičiž	V;PRS;COND;POS;3;SG
valita	valiteiž	V;PRS;COND;POS;3;PL
valita	en valičiž	V;PRS;COND;NEG;1;SG
valita	ed valičiž	V;PRS;COND;NEG;2;SG
valita	ii valičiž	V;PRS;COND;NEG;3;SG
valita	ii valičiži	V;PRS;COND;NEG;3;SG
valita	em valiteiž	V;PRS;COND;NEG;1;PL
valita	ed valiteiž	V;PRS;COND;NEG;2;PL
valita	ii valiteiž	V;PRS;COND;NEG;3;PL
valita	valinižin	V;PST;IPFV;COND;POS;1;SG
valita	valinižid	V;PST;IPFV;COND;POS;2;SG
valita	valinižid	V;PST;IPFV;COND;POS;2;PL
valita	valiniži	V;PST;IPFV;COND;POS;3;SG
valita	valinižim	V;PST;IPFV;COND;POS;1;PL
valita	valiteniž	V;PST;IPFV;COND;POS;3;PL
valita	om valitud	V;PASS;PRS;PRF
valita	oli valitud	V;PASS;PST;PRF
valita	valib	V;PRS;IND;POS;3;SG
valita	em valinuiži	V;PST;IPFV;COND;NEG;1;PL
valita	valiniž	V;PST;IPFV;COND;POS;3;SG
valita	valinuiž	V;PST;IPFV;COND;POS;3;SG
valita	en valiniž	V;PST;IPFV;COND;NEG;1;SG
valita	en valiniži	V;PST;IPFV;COND;NEG;1;SG
valita	en valinuiž	V;PST;IPFV;COND;NEG;1;SG
valita	ed valiniž	V;PST;IPFV;COND;NEG;2;SG
valita	ed valiniž	V;PST;IPFV;COND;NEG;2;PL
valita	ed valiniži	V;PST;IPFV;COND;NEG;2;SG
valita	ed valiniži	V;PST;IPFV;COND;NEG;2;PL
valita	ed valinuiž	V;PST;IPFV;COND;NEG;2;SG
valita	ed valinuiž	V;PST;IPFV;COND;NEG;2;PL
valita	ii valiniž	V;PST;IPFV;COND;NEG;3;SG
valita	ii valiniži	V;PST;IPFV;COND;NEG;3;SG
valita	ii valinuiž	V;PST;IPFV;COND;NEG;3;SG
valita	ii valinuiži	V;PST;IPFV;COND;NEG;3;SG
valita	em valiniž	V;PST;IPFV;COND;NEG;1;PL
valita	em valiniži	V;PST;IPFV;COND;NEG;1;PL
valita	em valinuiž	V;PST;IPFV;COND;NEG;1;PL
valita	ii valiteniž	V;PST;IPFV;COND;NEG;3;PL
veps	vepsad	N;NOM;PL
veps	vepsan	N;GEN;SG
voin	voin	N;NOM;SG
voin	voin	N;ACC;SG
voin	voinan	N;GEN;SG
voin	voinan	N;ACC;SG
voin	voinan	N;FRML;SG
voin	voinad	N;NOM;PL
voin	voinad	N;PRT;SG
voin	voinad	N;ACC;PL
voin	voinas	N;IN+ESS;SG
voin	voinale	N;AT+ALL;SG
voin	voinaks	N;TRANS;SG
voin	voinaspäi	N;IN+ABL;SG
voin	voinaha	N;IN+ALL;SG
voin	voinal	N;AT+ESS;SG
voin	voinalpäi	N;AT+ABL;SG
voin	voinata	N;PRIV ;SG
voin	voinanke	N;COM;SG
voin	voinadme	N;PROL;SG
voin	voinannoks	N;APPRX;SG
voin	voinannopäi	N;ON/AT+ABL;SG
voin	voinahasai	N;TERM;SG
voin	voinahapäi	N;PRP;SG
voin	voiniden	N;GEN;PL
voin	voinid	N;PRT;PL
voin	voinin	N;FRML;PL
voin	voinikš	N;TRANS;PL
voin	voiniš	N;IN+ESS;PL
voin	voinišpäi	N;IN+ABL;PL
voin	voinihe	N;IN+ALL;PL
voin	voinil	N;AT+ESS;PL
voin	voinilpäi	N;AT+ABL;PL
voin	voinile	N;AT+ALL;PL
voin	voinita	N;PRIV ;PL
voin	voinidenke	N;COM;PL
